mass,spec5,spec10
4.840154647827148,0,0
4.841700077056885,0,0
4.843245029449463,0,0
4.844790458679199,0,0
4.846336364746094,0,0
4.847882270812988,0,0
4.849428653717041,0,0
4.850975036621094,0,0
4.852521896362305,0,0
4.854069232940674,0,0
4.855616092681885,0,0
4.857163906097412,0,0
4.8587117195129395,0,0
4.860259532928467,0,0
4.861807823181152,0,0
4.863356113433838,0,0
4.864904880523682,0,0
4.866454124450684,0,0
4.8680033683776855,0,0
4.8695526123046875,0,0
4.871102333068848,0,0
4.872652053833008,0,0
4.874202728271484,0,0
4.875752925872803,0,0
4.877303600311279,0,0
4.878854751586914,0,0
4.880405902862549,0,0
4.881957054138184,0,0
4.883509159088135,0,0
4.885060787200928,0,0
4.886612892150879,0,0
4.888165473937988,0,0
4.889718055725098,0,0
4.891271114349365,0,0
4.892824172973633,0,0
4.894377708435059,0,0
4.895931243896484,0,0
4.897485256195068,0,0
4.899039268493652,0,0
4.9005937576293945,0,0
4.902148246765137,0,0
4.903703212738037,0,0
4.905258655548096,0,0
4.906813621520996,0,0
4.908369541168213,0,0
4.90992546081543,0,0
4.9114813804626465,0,0
4.9130377769470215,0,0
4.914594650268555,0,0
4.916151523590088,0,0
4.917708396911621,0,0
4.9192657470703125,0,0
4.920823574066162,0,0
4.922381401062012,0,0
4.923939228057861,0,0
4.925497531890869,0,0
4.927056312561035,0,0
4.928615093231201,0,0
4.930174350738525,0,0
4.93173360824585,0,0
4.933293342590332,0,0
4.9348530769348145,0,0
4.936413288116455,0,0
4.937973499298096,0,0
4.939533710479736,0,0
4.941094875335693,0,0
4.94265604019165,0,0
4.944217205047607,0,0
4.945778846740723,0,0
4.947340488433838,0,0
4.948902606964111,0,0
4.950464725494385,0,0
4.952027320861816,0,0
4.953589916229248,0,0
4.955152988433838,0,0
4.956716537475586,0,0
4.958280086517334,0,0
4.959843635559082,0,0
4.961407661437988,0,0
4.962972164154053,0,0
4.964536666870117,0,0
4.966101169586182,0,0
4.967666149139404,0,0
4.969231605529785,0,0
4.970797061920166,-0.07405000925064087,0
4.972362995147705,0.37025004625320435,0
4.973928928375244,3.4803502559661865,0
4.975494861602783,1.3723934888839722,0
4.9770612716674805,0.40974336862564087,0
4.978628158569336,-0.04936667159199715,0
4.980195045471191,0,0
4.981762409210205,0,0
4.983329772949219,0,0
4.984897613525391,0,0
4.9864654541015625,0,0
4.988033771514893,0,0
4.989602088928223,0,0
4.991170883178711,0,0
4.992739677429199,0,0
4.994308948516846,0,0
4.99587869644165,0,0
4.997447967529297,0,0
4.99901819229126,0,0
5.000588417053223,0,0
5.0021586418151855,0,0
5.003729343414307,0,0
5.005300521850586,0,0
5.006871700286865,0,0
5.0084428787231445,0,0
5.010014533996582,0,0
5.011586666107178,0,0
5.013158798217773,0,0
5.014730930328369,0,0
5.016303539276123,0,0
5.017876625061035,0,0
5.019449710845947,0,0
5.021023273468018,0,0
5.022596836090088,0,0
5.024170398712158,0,0
5.025744915008545,0,0
5.027318954467773,0,0
5.028893947601318,0,0
5.030468463897705,0,0
5.032043933868408,0,0
5.033618927001953,0,0
5.0351948738098145,0,0
5.036770343780518,0,0
5.038346767425537,0,0
5.039923191070557,0,0
5.041499614715576,0,0
5.043076515197754,0,0
5.044653415679932,0,0
5.046230792999268,0,0
5.0478081703186035,0,0
5.049386024475098,0,0
5.05096435546875,0,0
5.052542686462402,0,0
5.054121017456055,0,0
5.055699825286865,0,0
5.057279109954834,0,0
5.058858394622803,0,0
5.0604376792907715,0,0
5.062017440795898,0,0
5.063597679138184,0,0
5.065177917480469,0,0
5.066758632659912,0,0
5.0683393478393555,0,0
5.069920539855957,0,0
5.071501731872559,0,0
5.07308292388916,0,0
5.074665069580078,0,0
5.076246738433838,0,0
5.077829360961914,0,0
5.079411506652832,0,0
5.080994606018066,0,0
5.082577228546143,0,0
5.084160804748535,0,0
5.085744380950928,0,0
5.08732795715332,0,0
5.088912010192871,0,0
